PlayerName,Team1,Team2,Overs,Maidens,Runs,Wickets,Economy,Dream11_score
Umesh Yadav,KKR,CSK,4,0,20,2,5,58
Shivam Mavi,KKR,CSK,4,0,35,0,8.75,4
Varun Chakaravarthy,KKR,CSK,4,0,23,1,5.75,33
Sunil Narine,KKR,CSK,4,0,15,0,3.75,10
Andre Russell,KKR,CSK,4,0,38,1,9.5,29
Tushar Deshpande,CSK,KKR,3,0,23,0,7.67,4
Adam Milne,CSK,KKR,2.3,0,19,0,7.6,4
Mitchell Santner,CSK,KKR,4,0,31,1,7.75,29
Dwayne Bravo,CSK,KKR,4,0,20,3,5,87
Shivam Dube,CSK,KKR,1,0,11,0,11,4
Ravindra Jadeja,CSK,KKR,4,0,25,0,6.25,6
Shardul Thakur,DC,MI,4,0,47,0,11.75,0
Khaleel Ahmed,DC,MI,4,0,27,2,6.75,56
Axar Patel,DC,MI,4,0,40,0,10,2
Kamlesh Nagarkoti,DC,MI,2,0,29,0,14.5,-2
Kuldeep Yadav,DC,MI,4,0,18,3,4.5,89
Lalit Yadav,DC,MI,2,0,15,0,7.5,4
Daniel Sams,MI,DC,4,0,57,0,14.25,-2
Jasprit Bumrah,MI,DC,3.2,0,43,0,12.9,-2
Basil Thampi,MI,DC,4,0,35,3,8.75,83
Murugan Ashwin,MI,DC,4,0,14,2,3.5,60
Tymal Mills,MI,DC,3,0,26,1,8.67,29
Sandeep Sharma,PBSK,RCB,4,0,37,0,9.25,4
Arshdeep Singh,PBSK,RCB,4,0,31,1,7.75,29
Odean Smith,PBSK,RCB,4,0,52,0,13,-2
Rahul Chahar,PBSK,RCB,4,0,22,1,5.5,33
Harpreet Brar,PBSK,RCB,3,0,38,0,12.67,-2
Liam Livingstone,PBSK,RCB,1,0,14,0,14,4
David Willey,RCB,PBSK,3,0,28,0,9.33,4
Mohammed Siraj,RCB,PBSK,4,0,59,2,14.75,48
Shahbaz Ahmed,RCB,PBSK,1,0,6,0,6,4
Akash Deep,RCB,PBSK,3,0,38,1,12.67,23
Wanindu Hasaranga,RCB,PBSK,4,0,40,1,10,27
Harshal Patel,RCB,PBSK,4,0,36,1,9,29
Mohammad Shami,GT,LSG,4,0,25,3,6.25,85
Varun Aaron,GT,LSG,4,0,45,2,11.25,50
Lockie Ferguson,GT,LSG,4,0,24,0,6,6
Hardik Pandya,GT,LSG,4,0,37,0,9.25,4
Rashid Khan,GT,LSG,4,0,27,1,6.75,31
Dushmantha Chameera,LSG,GT,3,0,22,2,7.33,54
Avesh Khan,LSG,GT,3.4,0,33,1,9,29
Mohsin Khan,LSG,GT,2,0,18,0,9,4
Ravi Bishnoi,LSG,GT,4,0,34,0,8.5,4
Krunal Pandya,LSG,GT,4,0,17,1,4.25,35
Deepak Hooda,LSG,GT,3,0,31,1,10.33,27
Bhuvneshwar Kumar,SRH,RR,4,0,29,1,7.25,29
Romario Shepherd,SRH,RR,4,0,33,1,8.25,29
Umran Malik,SRH,RR,4,0,39,2,9.75,54
Washington Sundar,SRH,RR,3,0,47,0,15.67,-2
T Natarajan,SRH,RR,4,0,43,2,10.75,52
Abhishek Sharma,SRH,RR,1,0,15,0,15,4
Trent Boult,RR,SRH,4,1,23,2,5.75,70
Prasidh Krishna,RR,SRH,4,1,16,2,4,72
Nathan Coulter-Nile,RR,SRH,3,0,48,0,16,-2
Ravichandran Ashwin,RR,SRH,4,0,21,0,5.25,8
Yuzvendra Chahal,RR,SRH,4,0,22,3,5.5,87
Riyan Parag,RR,SRH,1,0,14,0,14,4
David Willey,RCB,KKR,2,0,7,0,3.5,10
Mohammed Siraj,RCB,KKR,4,0,25,1,6.25,31
Akash Deep,RCB,KKR,3.5,0,45,3,11.74,79
Wanindu Hasaranga,RCB,KKR,4,0,20,4,5,116
Harshal Patel,RCB,KKR,4,2,11,2,2.75,84
Shahbaz Ahmed,RCB,KKR,1,0,16,0,16,4
Umesh Yadav,KKR,RCB,4,0,16,2,4,60
Tim Southee,KKR,RCB,4,0,20,3,5,87
Andre Russell,KKR,RCB,2.2,0,36,0,15.43,-2
Sunil Narine,KKR,RCB,4,0,12,1,3,35
Varun Chakaravarthy,KKR,RCB,4,0,33,1,8.25,29
Venkatesh Iyer,KKR,RCB,1,0,10,0,10,4
Avesh Khan,LSG,CSK,4,0,38,2,9.5,54
Dushmantha Chameera,LSG,CSK,4,0,49,0,12.25,-2
Andrew Tye,LSG,CSK,4,0,40,2,10,52
Krunal Pandya,LSG,CSK,3,0,36,0,12,0
Ravi Bishnoi,LSG,CSK,4,0,24,2,6,56
Deepak Hooda,LSG,CSK,1,0,12,0,12,4
Mukesh Choudhary,CSK,LSG,3.3,0,39,0,11.14,0
Tushar Deshpande,CSK,LSG,4,0,40,1,10,27
Dwayne Bravo,CSK,LSG,4,0,35,1,8.75,29
Ravindra Jadeja,CSK,LSG,2,0,21,0,10.5,2
Moeen Ali,CSK,LSG,1,0,14,0,14,4
Dwaine Pretorius,CSK,LSG,4,0,31,2,7.75,54
Shivam Dube,CSK,LSG,1,0,25,0,25,4
Umesh Yadav,KKR,PBSK,4,1,23,4,5.75,128
Tim Southee,KKR,PBSK,4,0,36,2,9,54
Shivam Mavi,KKR,PBSK,2,0,39,1,19.5,23
Varun Chakaravarthy,KKR,PBSK,4,0,14,0,3.5,10
Sunil Narine,KKR,PBSK,4,0,23,1,5.75,33
Arshdeep Singh,PBSK,KKR,3,0,32,0,10.67,2
Kagiso Rabada,PBSK,KKR,3,0,23,1,7.67,29
Odean Smith,PBSK,KKR,2,0,39,1,19.5,23
Rahul Chahar,PBSK,KKR,4,1,13,2,3.25,72
Harpreet Brar,PBSK,KKR,2,0,20,0,10,2
Liam Livingstone,PBSK,KKR,0.3,0,13,0,26,4
Jasprit Bumrah,MI,RR,4,0,17,3,4.25,89
Daniel Sams,MI,RR,4,0,32,0,8,4
Basil Thampi,MI,RR,1,0,26,0,26,4
Murugan Ashwin,MI,RR,3,0,32,0,10.67,2
Tymal Mills,MI,RR,4,0,35,3,8.75,83
Kieron Pollard,MI,RR,4,0,46,1,11.5,25
Trent Boult,RR,MI,4,0,29,1,7.25,29
Prasidh Krishna,RR,MI,4,0,37,1,9.25,29
Navdeep Saini,RR,MI,3,0,36,2,12,50
Ravichandran Ashwin,RR,MI,4,0,30,1,7.5,29
Yuzvendra Chahal,RR,MI,4,0,26,2,6.5,56
Riyan Parag,RR,MI,1,0,11,0,11,4
Mustafizur Rahman,DC,GT,4,0,23,3,5.75,87
Shardul Thakur,DC,GT,4,0,42,0,10.5,2
Khaleel Ahmed,DC,GT,4,0,34,2,8.5,54
Axar Patel,DC,GT,4,0,37,0,9.25,4
Kuldeep Yadav,DC,GT,4,0,32,1,8,29
Mohammad Shami,GT,DC,4,0,30,2,7.5,54
Hardik Pandya,GT,DC,4,0,22,1,5.5,33
Lockie Ferguson,GT,DC,4,0,28,4,7,112
Rashid Khan,GT,DC,4,0,30,1,7.5,29
Varun Aaron,GT,DC,1,0,7,0,7,4
Vijay Shankar,GT,DC,1,0,14,0,14,4
Rahul Tewatia,GT,DC,2,0,22,0,11,2
Mukesh Choudhary,CSK,PBSK,4,0,52,1,13,23
Chris Jordan,CSK,PBSK,4,0,23,2,5.75,58
Dwayne Bravo,CSK,PBSK,3,0,32,1,10.67,27
Ravindra Jadeja,CSK,PBSK,4,0,34,1,8.5,29
Dwaine Pretorius,CSK,PBSK,4,0,30,2,7.5,54
Moeen Ali,CSK,PBSK,1,0,8,0,8,4
Vaibhav Arora,PBSK,CSK,4,0,21,2,5.25,58
Kagiso Rabada,PBSK,CSK,3,0,28,1,9.33,29
Arshdeep Singh,PBSK,CSK,2,0,13,1,6.5,31
Odean Smith,PBSK,CSK,2,0,14,1,7,29
Rahul Chahar,PBSK,CSK,4,0,25,3,6.25,85
Liam Livingstone,PBSK,CSK,3,0,25,2,8.33,54
Bhuvneshwar Kumar,SRH,LSG,4,0,25,0,6.25,6
Washington Sundar,SRH,LSG,4,0,28,2,7,54
Romario Shepherd,SRH,LSG,4,0,42,2,10.5,52
Umran Malik,SRH,LSG,3,0,39,0,13,-2
Abdul Samad,SRH,LSG,1,0,8,0,8,4
T Natarajan,SRH,LSG,4,0,26,2,6.5,56
Jason Holder,LSG,SRH,4,0,34,3,8.5,83
Krunal Pandya,LSG,SRH,4,0,27,2,6.75,56
Avesh Khan,LSG,SRH,4,0,24,4,6,114
Andrew Tye,LSG,SRH,4,0,39,0,9.75,4
Ravi Bishnoi,LSG,SRH,4,0,29,0,7.25,4
Mohammed Siraj,RCB,RR,4,0,43,0,10.75,2
David Willey,RCB,RR,4,0,29,1,7.25,29
Akash Deep,RCB,RR,4,0,44,0,11,2
Wanindu Hasaranga,RCB,RR,4,0,32,1,8,29
Harshal Patel,RCB,RR,4,0,18,1,4.5,35
Trent Boult,RR,RCB,4,0,34,2,8.5,54
Prasidh Krishna,RR,RCB,4,0,40,0,10,2
Ravichandran Ashwin,RR,RCB,4,0,39,0,9.75,4
Yuzvendra Chahal,RR,RCB,4,0,15,2,3.75,60
Navdeep Saini,RR,RCB,3,0,36,1,12,25
Yashasvi Jaiswal,RR,RCB,0.1,0,6,0,36,4
Umesh Yadav,KKR,MI,4,0,25,1,6.25,31
Rasikh Salam,KKR,MI,3,0,18,0,6,6
Pat Cummins,KKR,MI,4,0,49,2,12.25,48
Sunil Narine,KKR,MI,4,0,26,0,6.5,6
Varun Chakaravarthy,KKR,MI,4,0,32,1,8,29
Andre Russell,KKR,MI,1,0,9,0,9,4
Basil Thampi,MI,KKR,3,0,15,0,5,8
Daniel Sams,MI,KKR,3,0,50,1,16.67,23
Jasprit Bumrah,MI,KKR,3,0,26,0,8.67,4
Tymal Mills,MI,KKR,3,0,38,2,12.67,48
Tilak Varma,MI,KKR,1,0,6,0,6,4
Murugan Ashwin,MI,KKR,3,0,25,2,8.33,54
Jason Holder,LSG,DC,4,0,30,0,7.5,4
Krishnappa Gowtham,LSG,DC,4,1,23,1,5.75,45
Avesh Khan,LSG,DC,3,0,32,0,10.67,2
Ravi Bishnoi,LSG,DC,4,0,22,2,5.5,58
Andrew Tye,LSG,DC,3,0,28,0,9.33,4
Krunal Pandya,LSG,DC,2,0,12,0,6,6
Mustafizur Rahman,DC,LSG,4,0,26,0,6.5,6
Lalit Yadav,DC,LSG,4,0,21,1,5.25,33
Shardul Thakur,DC,LSG,3.4,0,29,1,7.91,29
Anrich Nortje,DC,LSG,2.2,0,35,0,15,-2
Axar Patel,DC,LSG,2,0,11,0,5.5,8
Kuldeep Yadav,DC,LSG,3.4,0,31,2,8.45,54
Mohammad Shami,GT,PBSK,4,0,36,1,9,29
Hardik Pandya,GT,PBSK,4,0,36,1,9,29
Lockie Ferguson,GT,PBSK,4,0,33,1,8.25,29
Rashid Khan,GT,PBSK,4,0,22,3,5.5,87
Darshan Nalkande,GT,PBSK,3,0,37,2,12.33,48
Rahul Tewatia,GT,PBSK,1,0,24,0,24,4
Vaibhav Arora,PBSK,GT,4,0,34,0,8.5,4
Arshdeep Singh,PBSK,GT,4,0,31,0,7.75,4
Kagiso Rabada,PBSK,GT,4,0,35,2,8.75,54
Rahul Chahar,PBSK,GT,4,0,41,1,10.25,27
Odean Smith,PBSK,GT,3,0,35,0,11.67,0
Liam Livingstone,PBSK,GT,1,0,12,0,12,4
Bhuvneshwar Kumar,SRH,CSK,4,0,36,1,9,29
Marco Jansen,SRH,CSK,4,0,30,1,7.5,29
Washington Sundar,SRH,CSK,4,0,21,2,5.25,58
T Natarajan,SRH,CSK,4,0,30,2,7.5,54
Umran Malik,SRH,CSK,3,0,29,0,9.67,4
Aiden Markram,SRH,CSK,1,0,8,1,8,29
Mukesh Choudhary,CSK,SRH,4,0,30,1,7.5,29
Maheesh Theekshana,CSK,SRH,4,0,31,0,7.75,4
Chris Jordan,CSK,SRH,3,0,34,0,11.33,0
Ravindra Jadeja,CSK,SRH,3,0,21,0,7,4
Moeen Ali,CSK,SRH,1,0,10,0,10,4
Dwayne Bravo,CSK,SRH,2.4,0,29,1,10.88,27
David Willey,RCB,MI,2,0,8,0,4,10
Mohammed Siraj,RCB,MI,4,0,51,0,12.75,-2
Wanindu Hasaranga,RCB,MI,4,0,28,2,7,54
Akash Deep,RCB,MI,4,1,20,1,5,45
Harshal Patel,RCB,MI,4,0,23,2,5.75,58
Shahbaz Ahmed,RCB,MI,2,0,19,0,9.5,4
Basil Thampi,MI,RCB,4,1,29,0,7.25,16
Jaydev Unadkat,MI,RCB,4,0,30,1,7.5,29
Jasprit Bumrah,MI,RCB,4,0,31,0,7.75,4
Murugan Ashwin,MI,RCB,3,0,26,0,8.67,4
Kieron Pollard,MI,RCB,3,0,24,0,8,4
Dewald Brevis,MI,RCB,0.3,0,8,1,16,29
Umesh Yadav,KKR,DC,4,0,48,1,12,25
Rasikh Salam,KKR,DC,1,0,10,0,10,4
Pat Cummins,KKR,DC,4,0,51,0,12.75,-2
Varun Chakaravarthy,KKR,DC,4,0,44,1,11,27
Sunil Narine,KKR,DC,4,0,21,2,5.25,58
Andre Russell,KKR,DC,2,0,16,1,8,29
Venkatesh Iyer,KKR,DC,1,0,14,0,14,4
Mustafizur Rahman,DC,KKR,4,0,21,0,5.25,8
Shardul Thakur,DC,KKR,2.4,0,30,2,11.25,50
Khaleel Ahmed,DC,KKR,4,0,25,3,6.25,85
Axar Patel,DC,KKR,3,0,32,0,10.67,2
Kuldeep Yadav,DC,KKR,4,0,35,4,8.75,112
Rovman Powell,DC,KKR,1,0,17,0,17,4
Lalit Yadav,DC,KKR,1,0,8,1,8,29
Dushmantha Chameera,LSG,RR,4,0,22,0,5.5,8
Jason Holder,LSG,RR,4,0,50,2,12.5,48
Ravi Bishnoi,LSG,RR,4,0,29,0,7.25,4
Avesh Khan,LSG,RR,4,0,31,1,7.75,29
Krishnappa Gowtham,LSG,RR,4,0,30,2,7.5,54
Trent Boult,RR,LSG,4,0,30,2,7.5,54
Prasidh Krishna,RR,LSG,4,0,35,1,8.75,29
Ravichandran Ashwin,RR,LSG,4,0,20,0,5,8
Kuldeep Sen,RR,LSG,4,0,35,1,8.75,29
Yuzvendra Chahal,RR,LSG,4,0,41,4,10.25,110
Bhuvneshwar Kumar,SRH,GT,4,0,37,2,9.25,54
Marco Jansen,SRH,GT,4,0,27,1,6.75,31
Washington Sundar,SRH,GT,3,0,14,0,4.67,10
T Natarajan,SRH,GT,4,0,34,2,8.5,54
Umran Malik,SRH,GT,4,0,39,1,9.75,29
Aiden Markram,SRH,GT,1,0,9,0,9,4
Mohammad Shami,GT,SRH,4,0,32,0,8,4
Hardik Pandya,GT,SRH,4,0,27,1,6.75,31
Lockie Ferguson,GT,SRH,4,0,46,0,11.5,0
Rashid Khan,GT,SRH,4,0,28,1,7,29
Darshan Nalkande,GT,SRH,2.1,0,22,0,10.15,2
Rahul Tewatia,GT,SRH,1,0,10,0,10,4
Mohammed Siraj,RCB,CSK,4,0,37,0,9.25,4
Josh Hazlewood,RCB,CSK,4,0,33,1,8.25,29
Akash Deep,RCB,CSK,4,0,58,0,14.5,-2
Glenn Maxwell,RCB,CSK,3,0,29,0,9.67,4
Shahbaz Ahmed,RCB,CSK,2,0,18,0,9,4
Wanindu Hasaranga,RCB,CSK,3,0,35,2,11.67,50
Moeen Ali,CSK,RCB,3,0,19,0,6.33,6
Mukesh Choudhary,CSK,RCB,3,0,40,1,13.33,23
Maheesh Theekshana,CSK,RCB,4,0,33,4,8.25,112
Ravindra Jadeja,CSK,RCB,4,0,39,3,9.75,83
Chris Jordan,CSK,RCB,2,0,20,0,10,2
Dwayne Bravo,CSK,RCB,4,0,42,1,10.5,27
Basil Thampi,MI,PBSK,4,0,47,2,11.75,50
Jaydev Unadkat,MI,PBSK,4,0,44,1,11,27
Jasprit Bumrah,MI,PBSK,4,0,28,1,7,29
Murugan Ashwin,MI,PBSK,4,0,34,1,8.5,29
Tymal Mills,MI,PBSK,4,0,37,0,9.25,4
Vaibhav Arora,PBSK,MI,4,0,43,1,10.75,27
Kagiso Rabada,PBSK,MI,4,0,29,2,7.25,54
Arshdeep Singh,PBSK,MI,4,0,29,0,7.25,4
Odean Smith,PBSK,MI,3,0,30,4,10,110
Liam Livingstone,PBSK,MI,1,0,11,0,11,4
Rahul Chahar,PBSK,MI,4,0,44,0,11,2
James Neesham,RR,GT,3,0,29,0,9.67,4
Prasidh Krishna,RR,GT,4,0,35,0,8.75,4
Kuldeep Sen,RR,GT,4,0,51,1,12.75,23
Yuzvendra Chahal,RR,GT,4,0,32,1,8,29
Riyan Parag,RR,GT,1,0,12,1,12,29
Ravichandran Ashwin,RR,GT,4,0,33,0,8.25,4
Mohammad Shami,GT,RR,4,0,39,1,9.75,29
Yash Dayal,GT,RR,4,0,40,3,10,81
Rashid Khan,GT,RR,4,0,24,0,6,6
Lockie Ferguson,GT,RR,4,0,23,3,5.75,87
Rahul Tewatia,GT,RR,1,0,9,0,9,4
Hardik Pandya,GT,RR,2.3,0,18,1,7.2,29
Vijay Shankar,GT,RR,0.3,0,1,0,2,4
Bhuvneshwar Kumar,SRH,KKR,4,0,37,1,9.25,29
Marco Jansen,SRH,KKR,4,0,26,1,6.5,31
T Natarajan,SRH,KKR,4,0,37,3,9.25,83
Umran Malik,SRH,KKR,4,0,27,2,6.75,56
Shashank Singh,SRH,KKR,1,0,10,0,10,4
Jagadeesha Suchith,SRH,KKR,3,0,32,1,10.67,27
Umesh Yadav,KKR,SRH,4,0,31,0,7.75,4
Pat Cummins,KKR,SRH,3.5,0,40,1,10.43,27
Andre Russell,KKR,SRH,2,0,20,2,10,52
Aman Khan,KKR,SRH,1,0,13,0,13,4
Varun Chakaravarthy,KKR,SRH,3,0,45,0,15,-2
Sunil Narine,KKR,SRH,4,0,23,0,5.75,8
Tilak Varma,MI,LSG,1,0,7,0,7,4
Jaydev Unadkat,MI,LSG,4,0,32,2,8,54
Murugan Ashwin,MI,LSG,4,0,33,1,8.25,29
Jasprit Bumrah,MI,LSG,4,0,24,0,6,6
Tymal Mills,MI,LSG,3,0,54,0,18,-2
Fabian Allen,MI,LSG,4,0,46,1,11.5,25
Jason Holder,LSG,MI,4,0,34,1,8.5,29
Dushmantha Chameera,LSG,MI,4,0,48,1,12,25
Avesh Khan,LSG,MI,4,0,30,3,7.5,83
Ravi Bishnoi,LSG,MI,4,0,34,1,8.5,29
Marcus Stoinis,LSG,MI,2,0,13,1,6.5,31
Krunal Pandya,LSG,MI,2,0,16,0,8,4
Mustafizur Rahman,DC,RCB,4,0,48,0,12,0
Shardul Thakur,DC,RCB,4,0,27,1,6.75,31
Khaleel Ahmed,DC,RCB,4,0,36,1,9,29
Axar Patel,DC,RCB,4,0,29,1,7.25,29
Kuldeep Yadav,DC,RCB,4,0,46,1,11.5,25
Glenn Maxwell,RCB,DC,2,0,14,0,7,4
Mohammed Siraj,RCB,DC,4,0,31,2,7.75,54
Josh Hazlewood,RCB,DC,4,0,28,3,7,83
Shahbaz Ahmed,RCB,DC,2,0,19,0,9.5,4
Harshal Patel,RCB,DC,4,0,40,0,10,2
Wanindu Hasaranga,RCB,DC,4,0,40,1,10,27
Bhuvneshwar Kumar,SRH,PBSK,4,0,22,3,5.5,87
Marco Jansen,SRH,PBSK,4,0,35,0,8.75,4
T Natarajan,SRH,PBSK,4,0,38,1,9.5,29
Jagadeesha Suchith,SRH,PBSK,4,0,28,1,7,29
Umran Malik,SRH,PBSK,4,1,28,4,7,124
Vaibhav Arora,PBSK,SRH,3.5,0,35,0,9.13,4
Kagiso Rabada,PBSK,SRH,4,0,29,1,7.25,29
Arshdeep Singh,PBSK,SRH,4,0,32,0,8,4
Rahul Chahar,PBSK,SRH,4,0,28,2,7,54
Odean Smith,PBSK,SRH,1,0,8,0,8,4
Liam Livingstone,PBSK,SRH,2,0,19,0,9.5,4
Mohammad Shami,GT,CSK,4,0,20,1,5,33
Yash Dayal,GT,CSK,4,0,40,1,10,27
Alzarri Joseph,GT,CSK,4,0,34,2,8.5,54
Lockie Ferguson,GT,CSK,4,0,46,0,11.5,0
Rashid Khan,GT,CSK,4,0,29,0,7.25,4
Mukesh Choudhary,CSK,GT,3,0,18,1,6,31
Maheesh Theekshana,CSK,GT,4,0,24,2,6,56
Chris Jordan,CSK,GT,3.5,0,58,0,15.13,-2
Ravindra Jadeja,CSK,GT,3,0,25,1,8.33,29
Moeen Ali,CSK,GT,2,0,17,0,8.5,4
Dwayne Bravo,CSK,GT,4,1,23,3,5.75,99
Umesh Yadav,KKR,RR,4,0,44,0,11,2
Shivam Mavi,KKR,RR,4,0,34,1,8.5,29
Varun Chakaravarthy,KKR,RR,2,0,30,0,15,-2
Pat Cummins,KKR,RR,4,0,50,1,12.5,23
Sunil Narine,KKR,RR,4,0,21,2,5.25,58
Andre Russell,KKR,RR,2,0,29,1,14.5,23
Trent Boult,RR,KKR,4,0,48,0,12,0
Prasidh Krishna,RR,KKR,4,0,43,1,10.75,27
Obed McCoy,RR,KKR,3.4,0,41,2,11.18,50
Ravichandran Ashwin,RR,KKR,4,0,38,1,9.5,29
Yuzvendra Chahal,RR,KKR,4,0,40,5,10,143
Dushmantha Chameera,LSG,RCB,3,0,31,2,10.33,52
Avesh Khan,LSG,RCB,4,0,33,0,8.25,4
Krunal Pandya,LSG,RCB,4,0,29,1,7.25,29
Ravi Bishnoi,LSG,RCB,4,0,47,0,11.75,0
Jason Holder,LSG,RCB,4,0,25,2,6.25,56
Marcus Stoinis,LSG,RCB,1,0,14,0,14,4
Mohammed Siraj,RCB,LSG,4,0,31,1,7.75,29
Glenn Maxwell,RCB,LSG,2,0,11,1,5.5,33
Josh Hazlewood,RCB,LSG,4,0,25,4,6.25,114
Shahbaz Ahmed,RCB,LSG,4,0,25,0,6.25,6
Harshal Patel,RCB,LSG,4,0,47,2,11.75,50
Wanindu Hasaranga,RCB,LSG,2,0,20,0,10,2
Shardul Thakur,DC,PBSK,2,0,20,0,10,2
Khaleel Ahmed,DC,PBSK,4,0,21,2,5.25,58
Lalit Yadav,DC,PBSK,2,0,11,2,5.5,58
Mustafizur Rahman,DC,PBSK,4,0,28,1,7,29
Axar Patel,DC,PBSK,4,0,10,2,2.5,60
Kuldeep Yadav,DC,PBSK,4,0,24,2,6,56
Vaibhav Arora,PBSK,DC,2,0,31,0,15.5,-2
Kagiso Rabada,PBSK,DC,3,0,35,0,11.67,0
Arshdeep Singh,PBSK,DC,1,0,17,0,17,4
Nathan Ellis,PBSK,DC,2,0,15,0,7.5,4
Rahul Chahar,PBSK,DC,2.3,0,21,1,8.4,29
Mukesh Choudhary,CSK,MI,3,0,19,3,6.33,85
Mitchell Santner,CSK,MI,3,0,16,1,5.33,33
Maheesh Theekshana,CSK,MI,4,0,35,1,8.75,29
Ravindra Jadeja,CSK,MI,4,0,30,0,7.5,4
Dwaine Pretorius,CSK,MI,2,0,17,0,8.5,4
Dwayne Bravo,CSK,MI,4,0,36,2,9,54
Daniel Sams,MI,CSK,4,0,30,4,7.5,112
Jasprit Bumrah,MI,CSK,4,0,29,0,7.25,4
Riley Meredith,MI,CSK,4,0,25,1,6.25,31
Jaydev Unadkat,MI,CSK,4,0,48,2,12,50
Hrithik Shokeen,MI,CSK,4,0,23,0,5.75,8
Khaleel Ahmed,DC,RR,4,0,47,1,11.75,25
Shardul Thakur,DC,RR,3,1,29,0,9.67,16
Lalit Yadav,DC,RR,4,0,41,0,10.25,2
Mustafizur Rahman,DC,RR,4,0,43,1,10.75,27
Kuldeep Yadav,DC,RR,3,0,40,0,13.33,-2
Axar Patel,DC,RR,2,0,21,0,10.5,2
Trent Boult,RR,DC,4,0,47,0,11.75,0
Prasidh Krishna,RR,DC,4,1,22,3,5.5,99
Obed McCoy,RR,DC,3,0,52,1,17.33,23
Ravichandran Ashwin,RR,DC,4,0,32,2,8,54
Yuzvendra Chahal,RR,DC,4,0,28,1,7,29
Riyan Parag,RR,DC,1,0,22,0,22,4
Umesh Yadav,KKR,GT,4,0,31,1,7.75,29
Tim Southee,KKR,GT,4,0,24,3,6,85
Shivam Mavi,KKR,GT,4,0,36,1,9,29
Sunil Narine,KKR,GT,4,0,31,0,7.75,4
Varun Chakaravarthy,KKR,GT,3,0,26,0,8.67,4
Andre Russell,KKR,GT,1,0,5,4,5,112
Mohammad Shami,GT,KKR,4,0,20,2,5,58
Yash Dayal,GT,KKR,4,0,42,2,10.5,52
Alzarri Joseph,GT,KKR,4,0,31,1,7.75,29
Lockie Ferguson,GT,KKR,4,0,33,1,8.25,29
Rashid Khan,GT,KKR,4,0,22,2,5.5,58
Bhuvneshwar Kumar,SRH,RCB,2.1,0,8,1,3.69,35
Marco Jansen,SRH,RCB,4,0,25,3,6.25,85
T Natarajan,SRH,RCB,3,0,10,3,3.33,89
Jagadeesha Suchith,SRH,RCB,3,0,12,2,4,60
Umran Malik,SRH,RCB,4,0,13,1,3.25,35
Mohammed Siraj,RCB,SRH,2,0,15,0,7.5,4
Josh Hazlewood,RCB,SRH,3,0,31,0,10.33,2
Harshal Patel,RCB,SRH,2,0,18,1,9,29
Wanindu Hasaranga,RCB,SRH,1,0,7,0,7,4
Daniel Sams,MI,LSG,4,0,40,1,10,27
Hrithik Shokeen,MI,LSG,2,0,11,0,5.5,8
Jasprit Bumrah,MI,LSG,4,0,31,1,7.75,29
Riley Meredith,MI,LSG,4,0,40,2,10,52
Jaydev Unadkat,MI,LSG,4,0,36,0,9,4
Kieron Pollard,MI,LSG,2,0,8,2,4,60
Mohsin Khan,LSG,MI,4,0,27,1,6.75,31
Dushmantha Chameera,LSG,MI,4,0,14,0,3.5,10
Jason Holder,LSG,MI,4,0,36,1,9,29
Krunal Pandya,LSG,MI,4,0,19,3,4.75,89
Ravi Bishnoi,LSG,MI,3,0,28,1,9.33,29
